EntrezID	GeneName	GeneSymbol
158431	zinc finger protein 782	ZNF782
158471	prune homolog 2 (Drosophila)	PRUNE2
1585	cytochrome P450, family 11, subfamily B, polypeptide 2	CYP11B2
158506	zinc finger protein 645	ZNF645
158586	zinc finger, X-linked, duplicated B	ZXDB
1586	cytochrome P450, family 17, subfamily A, polypeptide 1	CYP17A1
158763	Rho GTPase activating protein 36	ARHGAP36
158798	A kinase (PRKA) anchor protein 14	AKAP14
1588	cytochrome P450, family 19, subfamily A, polypeptide 1	CYP19A1
158809	melanoma antigen family B, 6	MAGEB6
158833	acyl-CoA wax alcohol acyltransferase 1	AWAT1
158835	acyl-CoA wax alcohol acyltransferase 2	AWAT2
158866	zinc finger, DHHC-type containing 15	ZDHHC15
1589	cytochrome P450, family 21, subfamily A, polypeptide 2	CYP21A2
158931	transcription elongation factor A (SII)-like 6	TCEAL6
158983	H2B histone family, member W, testis-specific	H2BFWT
159	adenylosuccinate synthase	ADSS
159195	ubiquitin specific peptidase 54	USP54
1592	cytochrome P450, family 26, subfamily A, polypeptide 1	CYP26A1
159296	NK2 homeobox 3	NKX2-3
1593	cytochrome P450, family 27, subfamily A, polypeptide 1	CYP27A1
1594	cytochrome P450, family 27, subfamily B, polypeptide 1	CYP27B1
159963	solute carrier family 5 (sodium/glucose cotransporter), member 12	SLC5A12
160	adaptor-related protein complex 2, alpha 1 subunit	AP2A1
1600	disabled homolog 1 (Drosophila)	DAB1
1601	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	DAB2
1602	dachshund homolog 1 (Drosophila)	DACH1
160287	lactate dehydrogenase A-like 6A	LDHAL6A
1603	defender against cell death 1	DAD1
1604	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	CD55
160418	transmembrane and tetratricopeptide repeat containing 3	TMTC3
160428	aldehyde dehydrogenase 1 family, member L2	ALDH1L2
1605	dystroglycan 1 (dystrophin-associated glycoprotein 1)	DAG1
1606	diacylglycerol kinase, alpha 80kDa	DGKA
160622	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	GRASP
160728	solute carrier family 5 (iodide transporter), member 8	SLC5A8
160851	diacylglycerol kinase, eta	DGKH
161	adaptor-related protein complex 2, alpha 2 subunit	AP2A2
1610	D-amino-acid oxidase	DAO
161003	stomatin (EPB72)-like 3	STOML3
1611	death-associated protein	DAP
1612	death-associated protein kinase 1	DAPK1
161247	fat storage-inducing transmembrane protein 1	FITM1
161253	RAS (RAD and GEM)-like GTP binding 2	REM2
1613	death-associated protein kinase 3	DAPK3
161357	MAM domain containing glycosylphosphatidylinositol anchor 2	MDGA2
161424	NOP9 nucleolar protein	NOP9
161497	stereocilin	STRC
1615	aspartyl-tRNA synthetase	DARS
161582	dyslexia susceptibility 1 candidate 1	DYX1C1
1617	deleted in azoospermia 1	DAZ1
161742	sprouty-related, EVH1 domain containing 1	SPRED1
1618	deleted in azoospermia-like	DAZL
161823	adenosine deaminase-like	ADAL
161882	zinc finger protein, FOG family member 1	ZFPM1
161931	adenosine deaminase domain containing 2	ADAD2
162	adaptor-related protein complex 1, beta 1 subunit	AP1B1
1620	deleted in bladder cancer 1	DBC1
1621	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	DBH
1622	diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)	DBI
162239	ZFP1 zinc finger protein	ZFP1
162394	schlafen family member 5	SLFN5
162417	N-acetylglutamate synthase	NAGS
162494	rhomboid, veinlet-like 3 (Drosophila)	RHBDL3
162514	transient receptor potential cation channel, subfamily V, member 3	TRPV3
162655	zinc finger protein 519	ZNF519
162699	transcription elongation factor B polypeptide 3C (elongin A3)	TCEB3C
162962	zinc finger protein 836	ZNF836
162963	zinc finger protein 610	ZNF610
162967	zinc finger protein 320	ZNF320
162989	death effector domain containing 2	DEDD2
162993	zinc finger protein 846	ZNF846
1630	deleted in colorectal carcinoma	DCC
163049	zinc finger protein 791	ZNF791
163051	zinc finger protein 709	ZNF709
163059	zinc finger protein 433	ZNF433
163071	zinc finger protein 114	ZNF114
163175	leucine-rich repeat LGI family, member 4	LGI4
1632	enoyl-CoA delta isomerase 1	ECI1
163223	zinc finger protein 676	ZNF676
163227	zinc finger protein 100	ZNF100
1633	deoxycytidine kinase	DCK
163486	DENN/MADD domain containing 1B	DENND1B
1635	dCMP deaminase	DCTD
163589	tudor domain containing 5	TDRD5
1636	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	ACE
163702	interferon, lambda receptor 1	IFNLR1
163732	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	CITED4
163778	small proline-rich protein 4	SPRR4
163786	spindle assembly 6 homolog (C. elegans)	SASS6
1638	dopachrome tautomerase	DCT
163882	consortin, connexin sorting protein	CNST
164	adaptor-related protein complex 1, gamma 1 subunit	AP1G1
164091	progestin and adipoQ receptor family member VII	PAQR7
1642	damage-specific DNA binding protein 1, 127kDa	DDB1
1643	damage-specific DNA binding protein 2, 48kDa	DDB2
164395	tubulin tyrosine ligase-like family, member 9	TTLL9
1644	dopa decarboxylase (aromatic L-amino acid decarboxylase)	DDC
164656	transmembrane protease, serine 6	TMPRSS6
1647	growth arrest and DNA-damage-inducible, alpha	GADD45A
164714	tubulin tyrosine ligase-like family, member 8	TTLL8
164832	LON peptidase N-terminal domain and ring finger 2	LONRF2
1649	DNA-damage-inducible transcript 3	DDIT3
165	AE binding protein 1	AEBP1
165140	oxoeicosanoid (OXE) receptor 1	OXER1
165257	complement component 1, q subcomponent-like 2	C1QL2
1653	DEAD (Asp-Glu-Ala-Asp) box helicase 1	DDX1
165324	UBX domain protein 2A	UBXN2A
1654	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	DDX3X
1655	DEAD (Asp-Glu-Ala-Asp) box helicase 5	DDX5
165530	C-type lectin domain family 4, member F	CLEC4F
165721	DnaJ (Hsp40) homolog, subfamily B, member 8	DNAJB8
1659	DEAH (Asp-Glu-Ala-His) box polypeptide 8	DHX8
166012	carbohydrate (chondroitin 4) sulfotransferase 13	CHST13
1663	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11	DDX11
166378	spermatogenesis associated 5	SPATA5
166379	Bardet-Biedl syndrome 12	BBS12
1665	DEAH (Asp-Glu-Ala-His) box polypeptide 15	DHX15
1666	2,4-dienoyl CoA reductase 1, mitochondrial	DECR1
166614	doublecortin-like kinase 2	DCLK2
166647	G protein-coupled receptor 125	GPR125
166752	FRAS1 related extracellular matrix 3	FREM3
166785	methylmalonic aciduria (cobalamin deficiency) cblA type	MMAA
166793	zinc finger and BTB domain containing 49	ZBTB49
1668	defensin, alpha 3, neutrophil-specific	DEFA3
1669	defensin, alpha 4, corticostatin	DEFA4
166929	sphingomyelin synthase 2	SGMS2
166968	mesoderm induction early response 1, family member 3	MIER3
1670	defensin, alpha 5, Paneth cell-specific	DEFA5
167153	PAP associated domain containing 4	PAPD4
1672	defensin, beta 1	DEFB1
1673	defensin, beta 4A	DEFB4A
1675	complement factor D (adipsin)	CFD
1676	DNA fragmentation factor, 45kDa, alpha polypeptide	DFFA
1677	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)	DFFB
167826	oligodendrocyte transcription factor 3	OLIG3
168451	THAP domain containing 5	THAP5
168507	polycystic kidney disease 1 like 1	PKD1L1
168667	BMP binding endothelial regulator	BMPER
1687	deafness, autosomal dominant 5	DFNA5
1690	coagulation factor C homolog, cochlin (Limulus polyphemus)	COCH
169026	solute carrier family 30 (zinc transporter), member 8	SLC30A8
169044	collagen, type XXII, alpha 1	COL22A1
169166	sorting nexin 31	SNX31
169611	olfactomedin-like 2A	OLFML2A
169714	quiescin Q6 sulfhydryl oxidase 2	QSOX2
169792	GLIS family zinc finger 3	GLIS3
169834	zinc finger protein 883	ZNF883
169841	zinc finger protein 169	ZNF169
169981	spindlin family, member 3	SPIN3
170082	transcription elongation factor A (SII) N-terminal and central domain containing	TCEANC
170261	zinc finger, CCHC domain containing 12	ZCCHC12
170572	5-hydroxytryptamine (serotonin) receptor 3C, ionotropic	HTR3C
170575	GTPase, IMAP family member 1	GIMAP1
170622	COMM domain containing 6	COMMD6
170680	psoriasis susceptibility 1 candidate 2	PSORS1C2
170690	ADAM metallopeptidase with thrombospondin type 1 motif, 16	ADAMTS16
170825	GS homeobox 2	GSX2
170850	potassium voltage-gated channel, subfamily G, member 3	KCNG3
170958	zinc finger protein 525	ZNF525
170959	zinc finger protein 431	ZNF431
170960	zinc finger protein 721	ZNF721
171017	zinc finger protein 384	ZNF384
171023	additional sex combs like 1 (Drosophila)	ASXL1
171169	sperm acrosome associated 4	SPACA4
171177	ras homolog family member V	RHOV
171392	zinc finger protein 675	ZNF675
171425	citrate lyase beta like	CLYBL
171546	serine palmitoyltransferase, small subunit A	SPTSSA
171586	abhydrolase domain containing 3	ABHD3
1716	deoxyguanosine kinase	DGUOK
1717	7-dehydrocholesterol reductase	DHCR7
1718	24-dehydrocholesterol reductase	DHCR24
1723	dihydroorotate dehydrogenase (quinone)	DHODH
1725	deoxyhypusine synthase	DHPS
1727	cytochrome b5 reductase 3	CYB5R3
1729	diaphanous homolog 1 (Drosophila)	DIAPH1
173	afamin	AFM
1735	deiodinase, iodothyronine, type III	DIO3
1736	dyskeratosis congenita 1, dyskerin	DKC1
1737	dihydrolipoamide S-acetyltransferase	DLAT
1738	dihydrolipoamide dehydrogenase	DLD
1739	discs, large homolog 1 (Drosophila)	DLG1
1740	discs, large homolog 2 (Drosophila)	DLG2
1741	discs, large homolog 3 (Drosophila)	DLG3
1745	distal-less homeobox 1	DLX1
1746	distal-less homeobox 2	DLX2
1747	distal-less homeobox 3	DLX3
175	aspartylglucosaminidase	AGA
1750	distal-less homeobox 6	DLX6
1755	deleted in malignant brain tumors 1	DMBT1
1757	sarcosine dehydrogenase	SARDH
1758	dentin matrix acidic phosphoprotein 1	DMP1
1759	dynamin 1	DNM1
176	aggrecan	ACAN
1760	dystrophia myotonica-protein kinase	DMPK
1762	dystrophia myotonica, WD repeat containing	DMWD
1767	dynein, axonemal, heavy chain 5	DNAH5
1768	dynein, axonemal, heavy chain 6	DNAH6
177	advanced glycosylation end product-specific receptor	AGER
1773	deoxyribonuclease I	DNASE1
1775	deoxyribonuclease I-like 2	DNASE1L2
1776	deoxyribonuclease I-like 3	DNASE1L3
1777	deoxyribonuclease II, lysosomal	DNASE2
1778	dynein, cytoplasmic 1, heavy chain 1	DYNC1H1
1780	dynein, cytoplasmic 1, intermediate chain 1	DYNC1I1
1783	dynein, cytoplasmic 1, light intermediate chain 2	DYNC1LI2
1785	dynamin 2	DNM2
1786	DNA (cytosine-5-)-methyltransferase 1	DNMT1
1788	DNA (cytosine-5-)-methyltransferase 3 alpha	DNMT3A
1789	DNA (cytosine-5-)-methyltransferase 3 beta	DNMT3B
1791	deoxynucleotidyltransferase, terminal	DNTT
1793	dedicator of cytokinesis 1	DOCK1
1796	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	DOK1
1800	dipeptidase 1 (renal)	DPEP1
1801	DPH1 homolog (S. cerevisiae)	DPH1
1802	DPH2 homolog (S. cerevisiae)	DPH2
1804	dipeptidyl-peptidase 6	DPP6
1805	dermatopontin	DPT
1807	dihydropyrimidinase	DPYS
1808	dihydropyrimidinase-like 2	DPYSL2
181	agouti related protein homolog (mouse)	AGRP
1810	down-regulator of transcription 1, TBP-binding (negative cofactor 2)	DR1
1811	solute carrier family 26, member 3	SLC26A3
1813	dopamine receptor D2	DRD2
1814	dopamine receptor D3	DRD3
1815	dopamine receptor D4	DRD4
1816	dopamine receptor D5	DRD5
1819	developmentally regulated GTP binding protein 2	DRG2
182	jagged 1	JAG1
1820	AT rich interactive domain 3A (BRIGHT-like)	ARID3A
1822	atrophin 1	ATN1
1823	desmocollin 1	DSC1
1825	desmocollin 3	DSC3
1826	Down syndrome cell adhesion molecule	DSCAM
1827	regulator of calcineurin 1	RCAN1
1828	desmoglein 1	DSG1
1829	desmoglein 2	DSG2
183	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	AGT
1832	desmoplakin	DSP
1836	solute carrier family 26 (sulfate transporter), member 2	SLC26A2
1841	deoxythymidylate kinase (thymidylate kinase)	DTYMK
1842	extracellular matrix protein 2, female organ and adipocyte specific	ECM2
1843	dual specificity phosphatase 1	DUSP1
1844	dual specificity phosphatase 2	DUSP2
1845	dual specificity phosphatase 3	DUSP3
1846	dual specificity phosphatase 4	DUSP4
185	angiotensin II receptor, type 1	AGTR1
1850	dual specificity phosphatase 8	DUSP8
1852	dual specificity phosphatase 9	DUSP9
1854	deoxyuridine triphosphatase	DUT
1855	dishevelled, dsh homolog 1 (Drosophila)	DVL1
1857	dishevelled, dsh homolog 3 (Drosophila)	DVL3
1859	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	DYRK1A
186	angiotensin II receptor, type 2	AGTR2
1861	torsin family 1, member A (torsin A)	TOR1A
1871	E2F transcription factor 3	E2F3
1874	E2F transcription factor 4, p107/p130-binding	E2F4
1875	E2F transcription factor 5, p130-binding	E2F5
1876	E2F transcription factor 6	E2F6
1879	early B-cell factor 1	EBF1
189	alanine-glyoxylate aminotransferase	AGXT
1890	thymidine phosphorylase	TYMP
1892	enoyl CoA hydratase, short chain, 1, mitochondrial	ECHS1
1896	ectodysplasin A	EDA
1901	sphingosine-1-phosphate receptor 1	S1PR1
1903	sphingosine-1-phosphate receptor 3	S1PR3
1906	endothelin 1	EDN1
1907	endothelin 2	EDN2
1908	endothelin 3	EDN3
1910	endothelin receptor type B	EDNRB
1912	polyhomeotic homolog 2 (Drosophila)	PHC2
1917	eukaryotic translation elongation factor 1 alpha 2	EEF1A2
192134	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 (core 3 synthase)	B3GNT6
192286	HIG1 hypoxia inducible domain family, member 2A	HIGD2A
192670	argonaute RISC catalytic component 4	AGO4
192683	secretory carrier membrane protein 5	SCAMP5
1933	eukaryotic translation elongation factor 1 beta 2	EEF1B2
1937	eukaryotic translation elongation factor 1 gamma	EEF1G
1938	eukaryotic translation elongation factor 2	EEF2
1939	eukaryotic translation initiation factor 2D	EIF2D
1943	ephrin-A2	EFNA2
1944	ephrin-A3	EFNA3
1945	ephrin-A4	EFNA4
1946	ephrin-A5	EFNA5
1947	ephrin-B1	EFNB1
1948	ephrin-B2	EFNB2
1949	ephrin-B3	EFNB3
1950	epidermal growth factor	EGF
1951	cadherin, EGF LAG seven-pass G-type receptor 3	CELSR3
1952	cadherin, EGF LAG seven-pass G-type receptor 2	CELSR2
1954	multiple EGF-like-domains 8	MEGF8
1955	multiple EGF-like-domains 9	MEGF9
1958	early growth response 1	EGR1
195814	short chain dehydrogenase/reductase family 16C, member 5	SDR16C5
196	aryl hydrocarbon receptor	AHR
1960	early growth response 3	EGR3
196051	phosphatidic acid phosphatase type 2 domain containing 1A	PPAPDC1A
1961	early growth response 4	EGR4
196264	myelin protein zero-like 3	MPZL3
196294	IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)	IMMP1L
196385	dynein, axonemal, heavy chain 10	DNAH10
196403	deltex homolog 3 (Drosophila)	DTX3
196441	zinc finger, C3H1-type containing	ZFC3H1
196463	phospholipase B domain containing 2	PLBD2
1965	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	EIF2S1
196527	anoctamin 6	ANO6
1967	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa	EIF2B1
196743	polyamine oxidase (exo-N4-amino)	PAOX
1968	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	EIF2S3
1969	EPH receptor A2	EPHA2
197	alpha-2-HS-glycoprotein	AHSG
197021	lactase-like	LCTL
197131	ubiquitin protein ligase E3 component n-recognin 1	UBR1
197135	protein associated with topoisomerase II homolog 2 (yeast)	PATL2
1973	eukaryotic translation initiation factor 4A1	EIF4A1
197322	acyl-CoA synthetase family member 3	ACSF3
197342	essential meiotic endonuclease 1 homolog 2 (S. pombe)	EME2
197350	caspase 16, apoptosis-related cysteine peptidase (putative)	CASP16
197370	non-SMC element 1 homolog (S. cerevisiae)	NSMCE1
1975	eukaryotic translation initiation factor 4B	EIF4B
1981	eukaryotic translation initiation factor 4 gamma, 1	EIF4G1
1982	eukaryotic translation initiation factor 4 gamma, 2	EIF4G2
1983	eukaryotic translation initiation factor 5	EIF5
1984	eukaryotic translation initiation factor 5A	EIF5A
199	allograft inflammatory factor 1	AIF1
1991	elastase, neutrophil expressed	ELANE
1992	serpin peptidase inhibitor, clade B (ovalbumin), member 1	SERPINB1
199221	DAZ interacting protein 1-like	DZIP1L
1995	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)	ELAVL3
199699	DAN domain family member 5, BMP antagonist	DAND5
1997	E74-like factor 1 (ets domain transcription factor)	ELF1
199704	zinc finger protein 585A	ZNF585A
199731	cell adhesion molecule 4	CADM4
199746	U2 small nuclear RNA auxiliary factor 1-like 4	U2AF1L4
199777	zinc finger protein 626	ZNF626
1998	E74-like factor 2 (ets domain transcription factor)	ELF2
199990	chromosome 1 open reading frame 86	C1orf86
2	alpha-2-macroglobulin	A2M
20	ATP-binding cassette, sub-family A (ABC1), member 2	ABCA2
2000	E74-like factor 4 (ets domain transcription factor)	ELF4
200010	solute carrier family 5 (sodium/glucose cotransporter), member 9	SLC5A9
200081	taxilin alpha	TXLNA
2001	E74-like factor 5 (ets domain transcription factor)	ELF5
200185	keratinocyte associated protein 2	KRTCAP2
2002	ELK1, member of ETS oncogene family	ELK1
200316	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F	APOBEC3F
2004	ELK3, ETS-domain protein (SRF accessory protein 2)	ELK3
200424	tet methylcytosine dioxygenase 3	TET3
2005	ELK4, ETS-domain protein (SRF accessory protein 1)	ELK4
200539	ankyrin repeat domain 23	ANKRD23
200558	aprataxin and PNKP like factor	APLF
200576	phosphoinositide kinase, FYVE finger containing	PIKFYVE
2006	elastin	ELN
200728	transmembrane protein 17	TMEM17
200734	sprouty-related, EVH1 domain containing 2	SPRED2
200845	potassium channel tetramerisation domain containing 6	KCTD6
200894	ADP-ribosylation factor-like 13B	ARL13B
200895	dihydrofolate reductase-like 1	DHFRL1
200909	5-hydroxytryptamine (serotonin) receptor 3D, ionotropic	HTR3D
200916	ribosomal protein L22-like 1	RPL22L1
200958	mucin 20, cell surface associated	MUC20
2010	emerin	EMD
2011	MAP/microtubule affinity-regulating kinase 2	MARK2
201140	dehydrogenase/reductase (SDR family) member 7C	DHRS7C
201164	phospholipase D family, member 6	PLD6
2012	epithelial membrane protein 1	EMP1
201266	solute carrier family 39 (metal ion transporter), member 11	SLC39A11
201294	unc-13 homolog D (C. elegans)	UNC13D
201299	RAD52 motif 1	RDM1
2013	epithelial membrane protein 2	EMP2
201305	spinster homolog 3 (Drosophila)	SPNS3
2014	epithelial membrane protein 3	EMP3
201475	RAB12, member RAS oncogene family	RAB12
2015	egf-like module containing, mucin-like, hormone receptor-like 1	EMR1
201514	zinc finger protein 584	ZNF584
201516	zinc finger and SCAN domain containing 4	ZSCAN4
201595	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)	STT3B
2016	empty spiracles homeobox 1	EMX1
201625	dynein, axonemal, heavy chain 12	DNAH12
201633	T cell immunoreceptor with Ig and ITIM domains	TIGIT
2018	empty spiracles homeobox 2	EMX2
2019	engrailed homeobox 1	EN1
202	absent in melanoma 1	AIM1
202051	spermatogenesis associated 24	SPATA24
202052	DnaJ (Hsp40) homolog, subfamily C, member 18	DNAJC18
202151	RAN binding protein 3-like	RANBP3L
202333	cardiomyopathy associated 5	CMYA5
202559	KH domain containing, RNA binding, signal transduction associated 2	KHDRBS2
2027	enolase 3 (beta, muscle)	ENO3
2028	glutamyl aminopeptidase (aminopeptidase A)	ENPEP
2029	endosulfine alpha	ENSA
202915	transmembrane protein 184A	TMEM184A
203	adenylate kinase 1	AK1
2030	solute carrier family 29 (nucleoside transporters), member 1	SLC29A1
203062	t-SNARE domain containing 1	TSNARE1
203068	tubulin, beta class I	TUBB
203100	HtrA serine peptidase 4	HTRA4
203102	ADAM metallopeptidase domain 32	ADAM32
203190	leucine-rich repeat LGI family, member 3	LGI3
203245	nuclear apoptosis inducing factor 1	NAIF1
2033	E1A binding protein p300	EP300
2035	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	EPB41
203523	zinc finger protein 449	ZNF449
203547	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae)	VMA21
2036	erythrocyte membrane protein band 4.1-like 1	EPB41L1
203611	chromodomain protein, Y-linked, 2B	CDY2B
204	adenylate kinase 2	AK2
2040	stomatin	STOM
2041	EPH receptor A1	EPHA1
2042	EPH receptor A3	EPHA3
204219	ceramide synthase 3	CERS3
2044	EPH receptor A5	EPHA5
2045	EPH receptor A7	EPHA7
2046	EPH receptor A8	EPHA8
2047	EPH receptor B1	EPHB1
2048	EPH receptor B2	EPHB2
2049	EPH receptor B3	EPHB3
205	adenylate kinase 4	AK4
2050	EPH receptor B4	EPHB4
2051	EPH receptor B6	EPHB6
205147	APC membrane recruitment protein 3	AMER3
2053	epoxide hydrolase 2, cytoplasmic	EPHX2
2054	syntaxin 2	STX2
2055	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	CLN8
2056	erythropoietin	EPO
2058	glutamyl-prolyl-tRNA synthetase	EPRS
2059	epidermal growth factor receptor pathway substrate 8	EPS8
2060	epidermal growth factor receptor pathway substrate 15	EPS15
206358	solute carrier family 36 (proton/amino acid symporter), member 1	SLC36A1
2065	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	ERBB3
2066	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	ERBB4
2068	excision repair cross-complementing rodent repair deficiency, complementation group 2	ERCC2
2069	epiregulin	EREG
2072	excision repair cross-complementing rodent repair deficiency, complementation group 4	ERCC4
2073	excision repair cross-complementing rodent repair deficiency, complementation group 5	ERCC5
2074	excision repair cross-complementing rodent repair deficiency, complementation group 6	ERCC6
2077	Ets2 repressor factor	ERF
2078	v-ets erythroblastosis virus E26 oncogene homolog (avian)	ERG
2079	enhancer of rudimentary homolog (Drosophila)	ERH
208	v-akt murine thymoma viral oncogene homolog 2	AKT2
2081	endoplasmic reticulum to nucleus signaling 1	ERN1
2098	esterase D	ESD
2099	estrogen receptor 1	ESR1
2100	estrogen receptor 2 (ER beta)	ESR2
2104	estrogen-related receptor gamma	ESRRG
2108	electron-transfer-flavoprotein, alpha polypeptide	ETFA
2109	electron-transfer-flavoprotein, beta polypeptide	ETFB
211	aminolevulinate, delta-, synthase 1	ALAS1
2113	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	ETS1
2116	ets variant 2	ETV2
2117	ets variant 3	ETV3
2119	ets variant 5	ETV5
212	aminolevulinate, delta-, synthase 2	ALAS2
2120	ets variant 6	ETV6
2121	Ellis van Creveld syndrome	EVC
2122	MDS1 and EVI1 complex locus	MECOM
2125	envoplakin	EVPL
2128	even-skipped homeobox 1	EVX1
213	albumin	ALB
2130	Ewing sarcoma breakpoint region 1	EWSR1
2132	exostosin 2	EXT2
2138	eyes absent homolog 1 (Drosophila)	EYA1
214	activated leukocyte cell adhesion molecule	ALCAM
2145	enhancer of zeste homolog 1 (Drosophila)	EZH1
2146	enhancer of zeste homolog 2 (Drosophila)	EZH2
2147	coagulation factor II (thrombin)	F2
215	ATP-binding cassette, sub-family D (ALD), member 1	ABCD1
2150	coagulation factor II (thrombin) receptor-like 1	F2RL1
2151	coagulation factor II (thrombin) receptor-like 2	F2RL2
2153	coagulation factor V (proaccelerin, labile factor)	F5
216	aldehyde dehydrogenase 1 family, member A1	ALDH1A1
2161	coagulation factor XII (Hageman factor)	F12
2162	coagulation factor XIII, A1 polypeptide	F13A1
2165	coagulation factor XIII, B polypeptide	F13B
2166	fatty acid amide hydrolase	FAAH
2167	fatty acid binding protein 4, adipocyte	FABP4
2169	fatty acid binding protein 2, intestinal	FABP2
2173	fatty acid binding protein 7, brain	FABP7
2175	Fanconi anemia, complementation group A	FANCA
2176	Fanconi anemia, complementation group C	FANCC
2177	Fanconi anemia, complementation group D2	FANCD2
2178	Fanconi anemia, complementation group E	FANCE
218	aldehyde dehydrogenase 3 family, member A1	ALDH3A1
2180	acyl-CoA synthetase long-chain family member 1	ACSL1
2182	acyl-CoA synthetase long-chain family member 4	ACSL4
2184	fumarylacetoacetate hydrolase (fumarylacetoacetase)	FAH
2185	PTK2B protein tyrosine kinase 2 beta	PTK2B
2186	bromodomain PHD finger transcription factor	BPTF
2188	Fanconi anemia, complementation group F	FANCF
2191	fibroblast activation protein, alpha	FAP
219287	APC membrane recruitment protein 2	AMER2
2193	phenylalanyl-tRNA synthetase, alpha subunit	FARSA
219333	ubiquitin specific peptidase 12	USP12
219402	mitochondrial translational initiation factor 3	MTIF3
219409	GS homeobox 1	GSX1
219527	leucine rich repeat containing 55	LRRC55
2196	FAT tumor suppressor homolog 2 (Drosophila)	FAT2
219699	unc-5 homolog B (C. elegans)	UNC5B
2197	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed	FAU
219743	trypsin domain containing 1	TYSND1
219770	gap junction protein, delta 4, 40.1kDa	GJD4
219771	cyclin Y	CCNY
219855	solute carrier family 37 (glycerol-3-phosphate transporter), member 2	SLC37A2
2199	fibulin 2	FBLN2
219927	mitochondrial ribosomal protein L21	MRPL21
219938	spermatogenesis associated 19	SPATA19
219988	protein associated with topoisomerase II homolog 1 (yeast)	PATL1
220	aldehyde dehydrogenase 1 family, member A3	ALDH1A3
220002	cytochrome b, ascorbate dependent 3	CYBASC3
220074	leucine rich transmembrane and 0-methyltransferase domain containing	LRTOMT
2201	fibrillin 2	FBN2
220134	spindle and kinetochore associated complex subunit 1	SKA1
220136	coiled-coil domain containing 11	CCDC11
2202	EGF containing fibulin-like extracellular matrix protein 1	EFEMP1
220202	atonal homolog 7 (Drosophila)	ATOH7
220296	hepatic and glial cell adhesion molecule	HEPACAM
2203	fructose-1,6-bisphosphatase 1	FBP1
220441	ring finger protein 152	RNF152
2207	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	FCER1G
220963	solute carrier family 16, member 9 (monocarboxylic acid transporter 9)	SLC16A9
220992	zinc finger protein 485	ZNF485
2210	Fc fragment of IgG, high affinity Ib, receptor (CD64)	FCGR1B
221037	jumonji domain containing 1C	JMJD1C
221044	upper zone of growth plate and cartilage matrix associated	UCMA
221074	solute carrier family 39 (zinc transporter), member 12	SLC39A12
221092	heterogeneous nuclear ribonucleoprotein U-like 2	HNRNPUL2
221120	alkB, alkylation repair homolog 3 (E. coli)	ALKBH3
221264	adenylate kinase domain containing 1	AKD1
221322	chromosome 6 open reading frame 170	C6orf170
221357	glutathione S-transferase alpha 5	GSTA5
221391	opsin 5	OPN5
221393	G protein-coupled receptor 115	GPR115
221395	G protein-coupled receptor 116	GPR116
2214	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)	FCGR3A
221472	FYVE, RhoGEF and PH domain containing 2	FGD2
221477	chromosome 6 open reading frame 89	C6orf89
221496	LEM domain containing 2	LEMD2
221504	zinc finger and BTB domain containing 9	ZBTB9
221527	zinc finger and BTB domain containing 12	ZBTB12
221613	histone cluster 1, H2aa	HIST1H2AA
221656	lysine (K)-specific demethylase 1B	KDM1B
221662	RNA binding motif protein 24	RBM24
2217	Fc fragment of IgG, receptor, transporter, alpha	FCGRT
221749	PX domain containing 1	PXDC1
221785	zinc finger and SCAN domain containing 25	ZSCAN25
2218	fukutin	FKTN
221823	phosphoribosyl pyrophosphate synthetase 1-like 1	PRPS1L1
